VehID,TimeStep,SpeedProfile
925,0,12.9676
925,0.05,12.94949
925,0.1,12.93138
925,0.15,12.911785
925,0.2,12.89219
925,0.25,12.86292
925,0.3,12.83365
925,0.35,12.788015
925,0.4,12.74238
925,0.45,12.67281
925,0.5,12.60324
925,0.55,12.50437
925,0.6,12.4055
925,0.65,12.28536
925,0.7,12.16522
925,0.75,12.04017
925,0.8,11.91512
925,0.85,11.788885
925,0.9,11.66265
925,0.95,11.531455
925,1,11.40026
925,1.05,11.26405
925,1.1,11.12784
925,1.15,10.98849
925,1.2,10.84914
925,1.25,10.7095
925,1.3,10.56986
925,1.35,10.43319
925,1.4,10.29652
925,1.45,10.166225
925,1.5,10.03593
925,1.55,9.915365
925,1.6,9.7948
925,1.65,9.68714
925,1.7,9.57948
925,1.75,9.48763
925,1.8,9.39578
925,1.85,9.3223
925,1.9,9.24882
925,1.95,9.19583
925,2,9.14284
925,2.05,9.111975
925,2.1,9.08111
925,2.15,9.07342
925,2.2,9.06573
925,2.25,9.08161
925,2.3,9.09749
925,2.35,9.13657
925,2.4,9.17565
925,2.45,9.23665
925,2.5,9.29765
925,2.55,9.37817
925,2.6,9.45869
925,2.65,9.554825
925,2.7,9.65096
925,2.75,9.756655
925,2.8,9.86235
925,2.85,9.968145
925,2.9,10.07394
925,2.95,10.1646
925,3,10.25526
925,3.05,10.305185
925,3.1,10.35511
925,3.15,10.349595
925,3.2,10.34408
925,3.25,10.299485
925,3.3,10.25489
925,3.35,10.188485
925,3.4,10.12208
925,3.45,10.034465
925,3.5,9.94685
925,3.55,9.836735
925,3.6,9.72662
925,3.65,9.59885
925,3.7,9.47108
925,3.75,9.336715
925,3.8,9.20235
925,3.85,9.074655
925,3.9,8.94696
925,3.95,8.836955
925,4,8.72695
925,4.05,8.639675
925,4.1,8.5524
925,4.15,8.48561
925,4.2,8.41882
925,4.25,8.36458
925,4.3,8.31034
925,4.35,8.257445
925,4.4,8.20455
925,4.45,8.14134
925,4.5,8.07813
925,4.55,7.99711
925,4.6,7.91609
925,4.65,7.81847
925,4.7,7.72085
925,4.75,7.61654
925,4.8,7.51223
925,4.85,7.41503
925,4.9,7.31783
925,4.95,7.23939
925,5,7.16095
925,5.05,7.10662
925,5.1,7.05229
925,5.15,7.021125
925,5.2,6.98996
925,5.25,6.978645
925,5.3,6.96733
925,5.35,6.97426
925,5.4,6.98119
925,5.45,7.00707
925,5.5,7.03295
925,5.55,7.07783
925,5.6,7.12271
925,5.65,7.182405
925,5.7,7.2421
925,5.75,7.30739
925,5.8,7.37268
925,5.85,7.43235
925,5.9,7.49202
925,5.95,7.537405
925,6,7.58279
925,6.05,7.610125
925,6.1,7.63746
925,6.15,7.646625
925,6.2,7.65579
925,6.25,7.647
925,6.3,7.63821
925,6.35,7.609565
925,6.4,7.58092
925,6.45,7.52913
925,6.5,7.47734
925,6.55,7.40164
925,6.6,7.32594
925,6.65,7.231885
925,6.7,7.13783
925,6.75,7.03646
925,6.8,6.93509
925,6.85,6.83701
925,6.9,6.73893
925,6.95,6.648155
925,7,6.55738
925,7.05,6.4709
925,7.1,6.38442
925,7.15,6.29875
925,7.2,6.21308
925,7.25,6.131595
925,7.3,6.05011
925,7.35,5.983155
925,7.4,5.9162
925,7.45,5.87413
925,7.5,5.83206
925,7.55,5.81804
925,7.6,5.80402
925,7.65,5.81241
925,7.7,5.8208
925,7.75,5.8421
925,7.8,5.8634
925,7.85,5.892555
925,7.9,5.92171
925,7.95,5.9628
925,8,6.00389
925,8.05,6.065835
925,8.1,6.12778
925,8.15,6.21371
925,8.2,6.29964
925,8.25,6.402
925,8.3,6.50436
925,8.35,6.61068
925,8.4,6.717
925,8.45,6.816085
925,8.5,6.91517
925,8.55,6.997945
925,8.6,7.08072
925,8.65,7.139775
925,8.7,7.19883
925,8.75,7.22898
925,8.8,7.25913
925,8.85,7.25922
925,8.9,7.25931
925,8.95,7.23617
925,9,7.21303
925,9.05,7.18935
925,9.1,7.16567
925,9.15,7.16782
925,9.2,7.16997
925,9.25,7.201925
925,9.3,7.23388
925,9.35,7.282755
925,9.4,7.33163
925,9.45,7.38555
925,9.5,7.43947
925,9.55,7.491155
925,9.6,7.54284
925,9.65,7.587705
925,9.7,7.63257
925,9.75,7.66691
925,9.8,7.70125
925,9.85,7.724595
925,9.9,7.74794
925,9.95,7.764555
925,10,7.78117
925,10.05,7.796465
925,10.1,7.81176
925,10.15,7.82752
925,10.2,7.84328
925,10.25,7.85756
925,10.3,7.87184
925,10.35,7.882525
925,10.4,7.89321
925,10.45,7.90007
925,10.5,7.90693
925,10.55,7.910935
925,10.6,7.91494
925,10.65,7.91711
925,10.7,7.91928
925,10.75,7.92027
925,10.8,7.92126
925,10.85,7.921385
925,10.9,7.92151
925,10.95,7.920905
925,11,7.9203
925,11.05,7.91905
925,11.1,7.9178
925,11.15,7.916135
925,11.2,7.91447
925,11.25,7.91294
925,11.3,7.91141
925,11.35,7.91075
925,11.4,7.91009
